Arc_ID,open_water_fraction
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,1.03161
797,1.02975
798,1.41832
799,2.01763
800,3.49578
801,9.5625
802,0.18287
803,0.22617
804,0
805,0
806,0.19934
807,0.5756
808,0.42724
809,0
810,6.54315
811,9.20277
812,0.09407
813,0
814,0
815,0
816,0.12671
817,0.31921
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0.31117
867,0.12245
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0.59776
882,0
883,0.23235
884,0.87074
885,0.47429
886,2.15638
887,0.48961
888,0
889,0
890,0.18959
891,0
892,0.49792
893,0.13227
894,0
895,0.38955
896,0.22162
897,0
898,0
899,0.24775
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0.16571
911,0
912,0.10375
913,0
914,0
915,0
916,0.2284
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0.6578
925,0
926,0
927,0.28068
928,0.03079
929,0
930,0
931,0
932,0
933,0.22377
934,0
935,0.22945
936,0.5657
937,0.26138
938,0
939,0
940,0
941,0
942,0
943,3.91952
944,3.39344
945,0.91595
946,0.9364
947,2.46718
948,9.71023
949,2.4048
950,0
951,0.02151
952,0.28008
953,0
954,0
955,0
956,0
957,0
958,0
959,0
